anime_id,anime_title_romaji,anime_title_english,anime_title_native,anime_title_userPreferred,isAdult,type,seasonInt,genres,popularity,meanScore,averageScore,episodes,favourites
21072,Kumi to Tulip,,クミとチューリップ,Kumi to Tulip,False,ANIME,151.0,['Sci-Fi'],575,56.0,53.0,1.0,0
21271,"Pikachu, Kore Nan no Kagi?","Pokémon: Pikachu, What's This Key?","ピカチュウ, これなんのカギ?","Pikachu, Kore Nan no Kagi?",False,ANIME,143.0,"['Adventure', 'Comedy', 'Fantasy']",1291,59.0,57.0,1.0,1
21409,King of Prism by Pretty Rhythm,,KING OF PRISM by PrettyRhythm,King of Prism by Pretty Rhythm,False,ANIME,161.0,"['Music', 'Sports']",2250,60.0,58.0,1.0,22
21863,Puchitto Gargantia Special,,ぷちっとがるがんてぃあ,Puchitto Gargantia Special,False,ANIME,134.0,"['Comedy', 'Mecha', 'Sci-Fi']",666,57.0,55.0,1.0,0
98142,Kara no Kyoukai: Mirai Fukuin - Gekijouyou Manners,the Garden of sinners -recalled out summer- Pre-show Reminder,劇場版 空の境界 未来福音 劇場用マナーCM,Kara no Kyoukai: Mirai Fukuin - Gekijouyou Manners,False,ANIME,134.0,[],2112,57.0,56.0,1.0,5
98208,Wake up!! TAMALA,Wake up!! TAMALA,Wake up!! TAMALA,Wake up!! TAMALA,False,ANIME,104.0,"['Fantasy', 'Psychological']",342,49.0,47.0,1.0,0
102077,Rolling☆Girls: Chibi☆Rolling☆Girls Korokoro Gekijou,,TVアニメ｢ちび☆ローリング☆ガールズ｣コロコロ劇場,Rolling☆Girls: Chibi☆Rolling☆Girls Korokoro Gekijou,False,ANIME,152.0,['Slice of Life'],868,55.0,53.0,12.0,4
103327,Akazukin to Kenkou,Little Red Riding Hood and Health,赤ずきんと健康,Akazukin to Kenkou,False,ANIME,,['Comedy'],139,41.0,41.0,1.0,0
105616,Hoopa no Odemashi Daisakusen!!,Pokémon: Hoopa's Surprise Ring Adventures,フーパのおでまし大作戦!!,Hoopa no Odemashi Daisakusen!!,False,ANIME,152.0,['Comedy'],633,54.0,51.0,6.0,2
115800,Quanzhi Fashi 4,,全职法师 第4季,Quanzhi Fashi 4,False,ANIME,,"['Action', 'Fantasy']",5332,72.0,71.0,12.0,101
116195,Green Dakara x Bakemono no Ko,,GREEN DA・KA・RA×バケモノの子,Green Dakara x Bakemono no Ko,False,ANIME,,['Music'],599,48.0,47.0,2.0,2
2567,Pinocchio yori Piccolino no Bouken,,ピノキオより ピコリーノの冒険,Pinocchio yori Piccolino no Bouken,False,ANIME,762.0,['Adventure'],468,59.0,55.0,52.0,1
2715,Totsuzen! Neko no Kuni Banipal Witt,Catnapped! The Movie,とつぜん! ネコの国 バニパルウィット,Totsuzen! Neko no Kuni Banipal Witt,False,ANIME,953.0,['Adventure'],659,62.0,58.0,1.0,14
3640,Monkey Punch no Sekai: Alice,Alice,モンキー・パンチの世界　アリス,Monkey Punch no Sekai: Alice,False,ANIME,911.0,"['Comedy', 'Ecchi', 'Sci-Fi']",380,44.0,43.0,1.0,0
6390,R20: Ginga Kuukou,Route 20: Galactic Airport,Ｒ２０ 銀河空港,R20: Ginga Kuukou,False,ANIME,913.0,['Sci-Fi'],394,49.0,47.0,1.0,0
6797,Docchi ni Suru?,Your Choice!,どっちにする？,Docchi ni Suru?,False,ANIME,,[],228,50.0,48.0,1.0,0
7025,Kiseichuu no Ichiya,,寄生虫の一夜,Kiseichuu no Ichiya,False,ANIME,,['Comedy'],710,45.0,45.0,1.0,2
7243,Suisei,,水棲,Suisei,False,ANIME,,['Comedy'],396,46.0,45.0,1.0,0
7771,Chiisana Jumbo,Little Jumbo,小さなジャンボ,Chiisana Jumbo,False,ANIME,774.0,['Fantasy'],234,53.0,49.0,1.0,1
8218,Fushigi na Elevator,The Elevator,ふしぎなエレベーター,Fushigi na Elevator,False,ANIME,,['Fantasy'],206,57.0,50.0,1.0,1
9045,Jack to Mame no Ki (1989),,ジャックと豆の木,Jack to Mame no Ki (1989),False,ANIME,,['Adventure'],358,54.0,51.0,1.0,0
9279,Bara no Hana to Joe,,バラの花とジョー,Bara no Hana to Joe,False,ANIME,772.0,['Drama'],358,52.0,50.0,1.0,1
9990,Midori-ko,Midori-ko,緑子,Midori-ko,False,ANIME,,['Drama'],1195,60.0,57.0,1.0,15
10688,Muybridge's Strings,,,Muybridge's Strings,False,ANIME,112.0,['Drama'],486,59.0,56.0,1.0,2
13789,Little Nemo Pilot (1984),,リトル・ニモ パイロット (1984),Little Nemo Pilot (1984),False,ANIME,,['Adventure'],321,56.0,53.0,1.0,1
98137,Mu Di,,牧笛,Mu Di,False,ANIME,,['Music'],324,57.0,53.0,1.0,1
101923,Ishikeri,Ishikeri-Kicking Rocks,イシケリ,Ishikeri,False,ANIME,,"['Comedy', 'Slice of Life']",323,53.0,50.0,1.0,1
102074,Teddy,,テディ,Teddy,False,ANIME,,['Slice of Life'],118,47.0,44.0,1.0,0
102300,Yakusoku,Promise,やくそく,Yakusoku,False,ANIME,,[],126,38.0,39.0,1.0,0
102516,Direct Animation,,ダイレクト・アニメーション,Direct Animation,False,ANIME,,[],152,33.0,36.0,1.0,0
102520,Tori,The Bird,鳥,Tori,False,ANIME,,[],138,44.0,43.0,1.0,0
102521,Kanashiki Mongoose,,悲しきマングース,Kanashiki Mongoose,False,ANIME,,[],118,42.0,42.0,1.0,0
102563,Through the Windows,,Through the Windows,Through the Windows,False,ANIME,,['Psychological'],279,56.0,51.0,1.0,0
102668,Utsukushii Hoshi,Beautiful Planet,美しい星,Utsukushii Hoshi,False,ANIME,,[],158,47.0,44.0,1.0,0
102671,Ushi Atama,Oxed-Man,牛頭,Ushi Atama,False,ANIME,,[],140,36.0,38.0,1.0,0
103316,Watashi no Kao,,ワ・タ・シ・ノ・カ・オ,Watashi no Kao,False,ANIME,,"['Horror', 'Psychological']",732,32.0,33.0,1.0,1
103323,Mori no Densetsu: Dai Ni Gakushou,Legend of the Forest: 2nd Movement,森の伝説 第二楽章,Mori no Densetsu: Dai Ni Gakushou,False,ANIME,,['Fantasy'],166,59.0,52.0,1.0,0
103699,Taku Boda,,タクボーダ,Taku Boda,False,ANIME,,[],125,41.0,41.0,1.0,0
103996,Umi e Kite,,海へ来て,Umi e Kite,False,ANIME,,[],97,58.0,,1.0,0
104128,Kitsune Tsuki,Fox Fears,きつね憑き,Kitsune Tsuki,False,ANIME,,['Drama'],321,62.0,56.0,1.0,4
107942,Land,Land,Land,Land,False,ANIME,,['Music'],144,52.0,47.0,1.0,0
111030,Tansui,FreshWater,淡水,Tansui,False,ANIME,,['Psychological'],135,42.0,41.0,1.0,0
113332,SONODA Video: Spring / Summer / Fall / Winter,,SONODA Video: Spring / Summer / Fall / Winter,SONODA Video: Spring / Summer / Fall / Winter,False,ANIME,,['Slice of Life'],131,51.0,47.0,1.0,0
113976,Shinrabanshou.mp3,,森羅万象.mp3,Shinrabanshou.mp3,False,ANIME,,['Music'],109,56.0,49.0,1.0,0
115040,Sayokyoku,Serenade,小夜曲,Sayokyoku,False,ANIME,,"['Comedy', 'Mystery']",206,39.0,40.0,1.0,0
115338,Kojiki: Hyuuga-hen,The Hyuga Episode of Kojiki,古事記 日向篇,Kojiki: Hyuuga-hen,False,ANIME,,[],112,53.0,,1.0,0
116155,Shooting Hero,,シューティング・ヒーロー,Shooting Hero,False,ANIME,,['Sports'],81,41.0,,1.0,0
116782,Doko kara Kita no,,どこからきたの,Doko kara Kita no,False,ANIME,,[],71,56.0,,1.0,0
116902,Joukyuusei,,上級生（じょうきゅうせい,Joukyuusei,False,ANIME,,[],133,49.0,45.0,1.0,0
117566,Boku no Kachi,,ボクの勝ち,Boku no Kachi,False,ANIME,,[],25,40.0,,1.0,0
118040,"Little Polar Bear: Shirokuma-kun, Fune ni Noru",,"リトルポーラベア しろくまくん, ふねにのる ","Little Polar Bear: Shirokuma-kun, Fune ni Noru",False,ANIME,914.0,['Adventure'],206,54.0,48.0,1.0,0
118046,Asa wo Kitan,,あさ おきたん,Asa wo Kitan,False,ANIME,,[],33,48.0,,1.0,0
118051,Shippo no Kimochi,,しっぽのきもち,Shippo no Kimochi,False,ANIME,,['Romance'],83,48.0,,1.0,0
118078,Dekkai Totto March,,デッカイ トット マーチ,Dekkai Totto March,False,ANIME,,[],73,44.0,,1.0,0
118113,Kappapa,,カッパッパ,Kappapa,False,ANIME,,[],64,47.0,,1.0,0
119662,QUI,QUI,QUI,QUI,False,ANIME,,[],90,55.0,,1.0,0
124698,Ekaki Uta,,絵描きうた,Ekaki Uta,False,ANIME,,[],192,68.0,56.0,1.0,6
131044,Mugen Shougatsu,,無限正月,Mugen Shougatsu,False,ANIME,,['Slice of Life'],242,59.0,51.0,1.0,4
133507,Love is an Elevator,,恋はエレベーター,Love is an Elevator,False,ANIME,,['Romance'],133,55.0,48.0,1.0,0
136169,Gisoku no Moses,,義足のMoses,Gisoku no Moses,False,ANIME,,['Supernatural'],173,68.0,58.0,1.0,2
3799,Speed,,スピード,Speed,False,ANIME,801.0,['Comedy'],339,47.0,46.0,1.0,0
4097,Nanmu Ichibyou Sokusai,,南無一病息災,Nanmu Ichibyou Sokusai,False,ANIME,731.0,['Music'],197,51.0,47.0,1.0,0
7031,Satsujinkyou Jidai,Au Fou!,殺人狂時代,Satsujinkyou Jidai,False,ANIME,,['Fantasy'],356,43.0,42.0,1.0,0
7032,Kitte no Gensou,,切手の幻想,Kitte no Gensou,False,ANIME,,['Comedy'],323,46.0,45.0,1.0,0
7258,Tabi,,旅,Tabi,False,ANIME,,"['Fantasy', 'Psychological']",460,49.0,47.0,1.0,5
8645,Kitte no Nai Okurimono,,切手のないおくりもの,Kitte no Nai Okurimono,False,ANIME,0.0,[],154,45.0,44.0,1.0,0
8730,Metropolitan Museum,,メトロポリタンミュージアム,Metropolitan Museum,False,ANIME,0.0,['Fantasy'],170,50.0,46.0,1.0,1
9667,Super Speed,,,Super Speed,False,ANIME,0.0,[],288,49.0,47.0,1.0,0
13083,Fushigi na Kusuri,,ふしぎなくすり,Fushigi na Kusuri,False,ANIME,,['Slice of Life'],229,49.0,46.0,1.0,0
13089,Hana to Mogura,,花ともぐら,Hana to Mogura,False,ANIME,,['Comedy'],217,49.0,46.0,1.0,0
13091,Ojii-chan ga Kaizoku Datta Koro,,おじいちゃんが海賊だった頃,Ojii-chan ga Kaizoku Datta Koro,False,ANIME,,['Comedy'],129,49.0,45.0,1.0,0
19731,Osamu to Musashi,Osamu and Musashi,オサムとムサシ,Osamu to Musashi,False,ANIME,942.0,"['Adventure', 'Fantasy']",154,58.0,50.0,1.0,0
99210,Koro wa Yane no Ue,,コロは屋根のうえ,Koro wa Yane no Ue,False,ANIME,0.0,[],131,46.0,43.0,1.0,1
99212,"Home, My Home","Home, My Home",ホーム・マイホーム,"Home, My Home",False,ANIME,,[],145,49.0,45.0,1.0,0
99216,The Embryo Develops into a Fetus,,,The Embryo Develops into a Fetus,False,ANIME,141.0,[],518,34.0,35.0,1.0,1
101157,DATA NO.6,,,DATA NO.6,False,ANIME,,['Sci-Fi'],72,55.0,,1.0,0
102238,Portrait,,ポートレート,Portrait,False,ANIME,,[],137,37.0,39.0,1.0,0
102364,Shunga,,SHUNGA,Shunga,False,ANIME,,[],241,27.0,31.0,1.0,0
102388,Walking Man,,WALKING MAN,Walking Man,False,ANIME,,[],269,29.0,32.0,1.0,0
102391,Chirico,,キリコ,Chirico,False,ANIME,,[],217,35.0,37.0,1.0,0
102515,Tarzan,,ターザン,Tarzan,False,ANIME,,[],119,46.0,43.0,1.0,0
102519,Mac the Movie,,マック･ザ･ムービー,Mac the Movie,False,ANIME,,[],139,36.0,38.0,1.0,1
102594,Head Spoon,,ヘッド・スプーン,Head Spoon,False,ANIME,,[],159,32.0,35.0,1.0,0
102665,Sleepy,,スリーピー,Sleepy,False,ANIME,,[],137,43.0,42.0,1.0,0
102666,Comics,,コミックス,Comics,False,ANIME,,[],254,34.0,36.0,1.0,3
102667,Motion Lumine,,モーション・ルミネ,Motion Lumine,False,ANIME,,[],134,33.0,36.0,1.0,0
102669,Nice to See You,,ナイス･トゥー･シー･ユー,Nice to See You,False,ANIME,,[],160,31.0,34.0,1.0,0
102707,Balloon,,Balloon,Balloon,False,ANIME,,[],296,47.0,46.0,1.0,0
103174,Ansoku no Basho,Where He Can Relax,安息の場所,Ansoku no Basho,False,ANIME,,['Slice of Life'],87,49.0,,1.0,1
103403,Yuki no Hi no Tayori,,雪の日のたより,Yuki no Hi no Tayori,False,ANIME,,['Music'],145,48.0,45.0,1.0,0
103941,Hina no Uta,,ヒナのうた,Hina no Uta,False,ANIME,,[],90,51.0,,1.0,0
104072,Roba Chotto Suneta,,ロバちょっとすねた,Roba Chotto Suneta,False,ANIME,,[],117,46.0,43.0,1.0,0
104075,Wasurerareta Ningyou,,忘れられた人形,Wasurerareta Ningyou,False,ANIME,,[],110,53.0,,1.0,1
104384,Konohana no Sakuya Mori,Forest this flower bloom,木ノ花ノ咲クヤ森,Konohana no Sakuya Mori,False,ANIME,,['Mystery'],246,56.0,51.0,1.0,3
104564,Symphonic Variations,,シンフォニック・バリエーション,Symphonic Variations,False,ANIME,,[],126,47.0,44.0,1.0,0
104630,Onaka no Ooki na Ouji-sama,,オナカの大きな王子さま,Onaka no Ooki na Ouji-sama,False,ANIME,,[],108,52.0,,1.0,0
107872,Matsugae wo Musubi,,松が枝を結び,Matsugae wo Musubi,False,ANIME,,['Drama'],180,65.0,55.0,1.0,6
108934,Tarareba,,たられば,Tarareba,False,ANIME,,[],223,60.0,54.0,1.0,3
113317,AEON,,AEON,AEON,False,ANIME,,"['Psychological', 'Sci-Fi']",125,57.0,,1.0,1
